timestamp,endpoint,topic,cache_status,latency_ms,success,status_code,error,concurrency
1783097637.1019814,analyze,business,,44.23920999397524,False,,[Errno -5] No address associated with hostname,3
1783097641.5889268,analyze,world,MISS,4536.095138988458,True,200.0,,3
1783097642.399503,analyze,sports,HIT,5342.100221983856,True,200.0,,3
1783097642.3995974,analyze,sports,MISS,5297.568991984008,True,200.0,,3
1783097642.9013584,analyze,sports,MISS,1312.3862869979348,True,200.0,,3
1783097644.0263624,analyze,world,MISS,1626.4850629959255,True,200.0,,3
1783097644.0264466,analyze,world,MISS,1626.8287809798494,True,200.0,,3
1783097644.641525,analyze,sports,MISS,1740.118462999817,True,200.0,,3
1783097645.6647406,analyze,sci_tech,MISS,1638.0334940040484,True,200.0,,3
1783097645.6648204,analyze,sci_tech,MISS,1638.3552550105378,True,200.0,,3
1783097646.2411134,analyze,world,MISS,1599.5423069980461,True,200.0,,3
1783097647.3162396,analyze,sports,MISS,1651.15142299328,True,200.0,,3
1783097647.3183594,analyze,sports,MISS,1653.5124080255628,True,200.0,,3
1783097647.9170666,analyze,sci_tech,MISS,1675.9039590251632,True,200.0,,3
1783097648.7153666,analyze,sports,HIT,1396.9732039840892,True,200.0,,3
1783097648.71545,analyze,sports,MISS,1399.1877509979531,True,200.0,,3
1783097648.8751965,analyze,world,HIT,958.07320199674,True,200.0,,3
1783097649.1737058,analyze,sports,HIT,457.9848889843561,True,200.0,,3
1783097650.3373291,analyze,world,MISS,1621.8427709827665,True,200.0,,3
1783097650.3380923,analyze,world,MISS,1462.860086990986,True,200.0,,3
1783097650.9222193,analyze,world,MISS,1748.4736570040695,True,200.0,,3
1783097651.603672,analyze,sports,HIT,1266.3047910027672,True,200.0,,3
1783097651.6037543,analyze,world,MISS,1265.5863910040352,True,200.0,,3
1783097652.3204727,analyze,sports,MISS,1398.2144829933532,True,200.0,,3
1783097653.409725,analyze,world,MISS,1805.709301988827,True,200.0,,3
1783097653.4098141,analyze,sports,MISS,1806.0363520053215,True,200.0,,3
1783097653.9085615,analyze,sci_tech,MISS,1588.0523420055397,True,200.0,,3
1783097654.9837077,analyze,world,MISS,1573.862012999598,True,200.0,,3
1783097654.98379,analyze,sports,MISS,1573.7239469890483,True,200.0,,3
1783097655.495451,analyze,business,MISS,1586.8509429856203,True,200.0,,3
1783097656.506654,analyze,sci_tech,MISS,1522.8292810206767,True,200.0,,3
1783097656.515518,analyze,world,MISS,1531.4653220120817,True,200.0,,3
1783097657.0724967,analyze,sports,MISS,1577.0082420203835,True,200.0,,3
1783097658.1973028,analyze,business,MISS,1690.5928539927118,True,200.0,,3
1783097658.198653,analyze,sports,MISS,1683.0953159951605,True,200.0,,3
1783097658.464468,analyze,sports,HIT,1391.9355949910823,True,200.0,,3
1783097659.0787718,analyze,world,MISS,881.4230670104735,True,200.0,,3
1783097660.1028254,analyze,sports,MISS,1904.0801950031891,True,200.0,,3
1783097660.1029127,analyze,sports,MISS,1638.4204979985952,True,200.0,,3
1783097660.5922246,analyze,sports,MISS,1513.4039520053193,True,200.0,,3
1783097661.6781654,analyze,sci_tech,MISS,1574.9800099874847,True,200.0,,3
1783097661.6791403,analyze,sci_tech,MISS,1576.2015600048471,True,200.0,,3
1783097662.199713,analyze,sci_tech,MISS,1607.4348610127345,True,200.0,,3
1783097663.3087764,analyze,business,MISS,1630.5732949986123,True,200.0,,3
1783097663.309588,analyze,business,MISS,1630.420792993391,True,200.0,,3
1783097663.892886,analyze,business,MISS,1693.1183799752034,True,200.0,,3
1783097664.9160388,analyze,sci_tech,MISS,1607.2203789954074,True,200.0,,3
1783097664.9161227,analyze,sci_tech,MISS,1606.5148199850228,True,200.0,,3
1783097665.3328114,analyze,business,MISS,1439.8816220054869,True,200.0,,3
1783097666.3504763,analyze,business,MISS,1434.3212759995367,True,200.0,,3
1783097666.3505602,analyze,business,MISS,1434.186131984461,True,200.0,,3
1783097666.8623796,analyze,sci_tech,MISS,1529.5295499963686,True,200.0,,3
1783097667.9888012,analyze,sci_tech,MISS,1637.98289000988,True,200.0,,3
1783097667.9888854,analyze,world,MISS,1638.3060770167504,True,200.0,,3
1783097668.4626014,analyze,sports,MISS,1600.1818309887312,True,200.0,,3
1783097669.5399532,analyze,business,MISS,1550.8083419990726,True,200.0,,3
1783097669.5400355,analyze,sports,MISS,1551.1302939848974,True,200.0,,3
1783097670.1388829,analyze,sports,MISS,1676.2400979932863,True,200.0,,3
1783097671.2169318,analyze,sci_tech,MISS,1676.626020023832,True,200.0,,3
1783097671.218176,analyze,sports,MISS,1678.1142279796768,True,200.0,,3
1783097671.7766564,analyze,business,MISS,1637.7245449984912,True,200.0,,3
1783097672.8655074,analyze,sci_tech,MISS,1648.5388409928419,True,200.0,,3
1783097672.8655927,analyze,sci_tech,MISS,1647.3953140084632,True,200.0,,3
1783097673.4152129,analyze,business,MISS,1638.502621994121,True,200.0,,3
